Top,p.value,FDR,summary.logFC,logFC.hspc,ensembl_gene_id
49,1.8527355180426417e-21,1.0587060103100804e-20,-1.6438964756588392,-1.6438964756588392,ENSMUSG00000030605
50,9.387078825319986e-21,5.256764142179208e-20,1.2072538841630545,1.2072538841630545,ENSMUSG00000032412
51,1.2681601279859925e-20,6.962447761491743e-20,-0.9680228577956691,-0.9680228577956691,ENSMUSG00000022661
52,3.24736434304502e-20,1.7485808001011644e-19,-1.1826399095710107,-1.1826399095710107,ENSMUSG00000030124
53,3.801448452999282e-20,2.0083123902637734e-19,1.0606669900201302,1.0606669900201302,ENSMUSG00000021759
54,1.1067592853217732e-19,5.738751849816609e-19,-0.8795867940709221,-0.8795867940709221,ENSMUSG00000040537
55,1.721138923497553e-19,8.762161792351167e-19,0.775139426132063,0.775139426132063,ENSMUSG00000050377
56,5.349186900634483e-19,2.674593450317249e-18,1.2304265315893688,1.2304265315893688,ENSMUSG00000028184
57,2.797567676053938e-18,1.3742437706931581e-17,-0.9957049620847205,-0.9957049620847205,ENSMUSG00000026748
58,3.014229982603956e-17,1.4551455088432904e-16,-0.8464567257484927,-0.8464567257484927,ENSMUSG00000031990
59,7.351220374337753e-17,3.4763205703173894e-16,-0.6081195595042825,-0.6081195595042825,ENSMUSG00000024670
60,7.449258364965842e-17,3.4763205703173894e-16,-0.9679951532711584,-0.9679951532711584,ENSMUSG00000004609
61,1.9936373350862875e-16,9.1511221938387e-16,-1.2532505865243408,-1.2532505865243408,ENSMUSG00000037405
62,4.3909936310903744e-16,1.983029381782747e-15,-1.2266476182653476,-1.2266476182653476,ENSMUSG00000045362
63,2.666632596635753e-15,1.1851700429492221e-14,-1.3485951694775302,-1.3485951694775302,ENSMUSG00000036503
64,7.992150002913066e-14,3.4965656262744633e-13,1.1160131474120227,1.1160131474120227,ENSMUSG00000052593
65,8.25184998073111e-14,3.554643068622635e-13,-1.0527697369289806,-1.0527697369289806,ENSMUSG00000037649
66,3.289454768403771e-13,1.3955262653834156e-12,-0.9949536734297048,-0.9949536734297048,ENSMUSG00000029338
67,4.0927390719931583e-13,1.710398418146396e-12,-0.6368624735971163,-0.6368624735971163,ENSMUSG00000035498
68,5.32098705247938e-13,2.1909946686679805e-12,-0.6230294763329578,-0.6230294763329578,ENSMUSG00000022901
69,7.402861704947109e-13,3.004059822297373e-12,-0.9024908354954326,-0.9024908354954326,ENSMUSG00000022667
70,9.169613365645578e-13,3.667845346258232e-12,0.9910224180004837,0.9910224180004837,ENSMUSG00000026656
71,1.1368864689717918e-12,4.4834959339732655e-12,0.952061261746829,0.952061261746829,ENSMUSG00000025809
72,1.3513409577272686e-12,5.255214835606038e-12,-0.669320563162435,-0.669320563162435,ENSMUSG00000028469
73,1.683398321956496e-12,6.45687027599753e-12,1.1719925827271447,1.1719925827271447,ENSMUSG00000074785
74,2.078790596923661e-12,7.865694150521961e-12,1.0685871464857968,1.0685871464857968,ENSMUSG00000027366
75,3.2498165606583894e-12,1.2132648493124654e-11,-0.900148526637238,-0.900148526637238,ENSMUSG00000022657
76,3.781134620441101e-12,1.3930495970046183e-11,-0.9290181961679539,-0.9290181961679539,ENSMUSG00000027340
77,3.833327313383659e-12,1.3939372048667844e-11,-1.0538154123877868,-1.0538154123877868,ENSMUSG00000028645
78,4.007373474128625e-12,1.438544324046174e-11,-0.9492848692420414,-0.9492848692420414,ENSMUSG00000016496
79,4.187770153235934e-12,1.4842729657038736e-11,-0.8081556246954439,-0.8081556246954439,ENSMUSG00000026566
80,7.117147699295001e-12,2.4910016947532504e-11,1.0207508081794963,1.0207508081794963,ENSMUSG00000027312
81,8.95035639888604e-12,3.0939503601087493e-11,0.9806017655957948,0.9806017655957948,ENSMUSG00000031021
82,1.1754885865323637e-11,4.013863466208072e-11,-0.5310176579269539,-0.5310176579269539,ENSMUSG00000026576
83,2.6343352511197692e-11,8.886914100163087e-11,-0.6261298746353907,-0.6261298746353907,ENSMUSG00000000791
84,2.668140134722384e-11,8.893800449074612e-11,1.0012573240716804,1.0012573240716804,ENSMUSG00000023942
85,7.904896004327774e-11,2.6039657426020936e-10,0.9627559564067294,0.9627559564067294,ENSMUSG00000013236
86,9.398763900193723e-11,3.0600626651793466e-10,-0.6783752397102837,-0.6783752397102837,ENSMUSG00000027408
87,9.967656552815755e-11,3.2079814192970293e-10,-0.5183505907315641,-0.5183505907315641,ENSMUSG00000050921
88,2.0513780815687152e-10,6.527112077718634e-10,-0.5096858648055216,-0.5096858648055216,ENSMUSG00000031375
89,2.2158927093615345e-10,6.971347849676749e-10,-0.9722129411926899,-0.9722129411926899,ENSMUSG00000005465
90,4.283169077639147e-10,1.3325414908210676e-9,-0.4735854657707933,-0.4735854657707933,ENSMUSG00000037206
91,5.185243898520956e-10,1.595459661083368e-9,-0.5884932603262495,-0.5884932603262495,ENSMUSG00000039005
92,1.2174346896788267e-9,3.7052360120659925e-9,-0.8422596830166165,-0.8422596830166165,ENSMUSG00000067336
93,1.237770643383258e-9,3.7266212919065804e-9,-0.9808758327734344,-0.9808758327734344,ENSMUSG00000034708
94,2.3081915499232043e-9,6.875464191260613e-9,0.9804216841697068,0.9804216841697068,ENSMUSG00000023961
95,3.472380620543362e-9,1.0234384986864634e-8,-1.000264960801335,-1.000264960801335,ENSMUSG00000040592
96,4.516037638900891e-9,1.3171776446794261e-8,0.7382656325683781,0.7382656325683781,ENSMUSG00000028641
97,8.729388623996751e-9,2.5198235203289582e-8,-0.7936998777900893,-0.7936998777900893,ENSMUSG00000057530
98,2.3178593833032755e-8,6.622455380866507e-8,-0.3389645962623329,-0.3389645962623329,ENSMUSG00000032816
